price prediction,date
28.864786948041843,2023-04-11
28.499728770013053,2023-04-18
28.48369170216027,2023-04-25
28.70014069468191,2023-05-02
29.473945354818,2023-05-09
28.86006113715599,2023-05-16
28.316164396321238,2023-05-23
28.661135564898927,2023-05-30
28.354198781059974,2023-06-06
27.91820680005962,2023-06-13
28.142942358264293,2023-06-20
28.48979382961042,2023-06-27
22.539467294292308,2023-07-04
20.168396633296936,2023-07-11
20.217607840290455,2023-07-18
18.70589414477455,2023-07-25
18.419072346162753,2023-08-01
18.348499417452533,2023-08-08
18.365141312766212,2023-08-15
17.4621580217287,2023-08-22
16.00217683748271,2023-08-29
21.040727653982174,2023-09-05
20.871471713757597,2023-09-12
20.74175123947698,2023-09-19
20.771572861327737,2023-09-26
20.834174924819802,2023-10-03
20.842038667188547,2023-10-10
20.83928073068061,2023-10-17
20.939957292386097,2023-10-24
20.905271124585642,2023-10-31
20.897029366343887,2023-11-07
20.847366135195948,2023-11-14
20.70802762147422,2023-11-21
21.029162591980683,2023-11-28
20.929968517034464,2023-12-05
20.926460580526527,2023-12-12
20.926460580526527,2023-12-19
20.877604527994404,2023-12-26
21.064922418133364,2024-01-02
21.02175079216674,2024-01-09
20.91680525449013,2024-01-16
20.91680525449013,2024-01-23
20.91769414337902,2024-01-30
20.880064845454722,2024-02-06
21.02175079216674,2024-02-13
21.020745501161446,2024-02-20
21.136329201958002,2024-02-27
21.1278106976845,2024-03-05
21.136329201958002,2024-03-12
20.93465046102885,2024-03-19
20.931560308866967,2024-03-26
21.037845229501894,2024-04-02
